año_mes;provincia_zona;genero;rubro;Cantidad;remuneracion_Med;remuneracion_prom
39630;Mendoza;Femenino;Litio-Produccion;1;4969,99;4969,99
39630;Mendoza;Masculino;Litio-Produccion;4;3386,5;3916,79
39630;Salta;Femenino;Litio-exploración y financiación;5;2236,04;2673,4
39630;Salta;Femenino;Litio-Produccion;15;3673,29;5043,52
39630;Salta;Masculino;Litio-exploración y financiación;32;2385,6;2908,65
39630;Salta;Masculino;Litio-Produccion;41;6305,05;6332,57
39661;Catamarca;Femenino;Litio-Produccion;8;5032,2;5774,19
39661;Catamarca;Masculino;Litio-Produccion;135;5421,84;5823,43
39661;Jujuy;Femenino;Litio-exploración y financiación;3;4097;3832,64
39661;Jujuy;Masculino;Litio-exploración y financiación;5;2326,86;2824,3
39661;Jujuy;Masculino;Litio-Produccion;8;394,6;647,76
39661;Mendoza;Femenino;Litio-Produccion;1;4969,99;4969,99
39661;Mendoza;Masculino;Litio-Produccion;3;7446,16;7590,39
39661;Salta;Femenino;Litio-exploración y financiación;5;2236,04;2673,4
39661;Salta;Femenino;Litio-Produccion;15;3539,23;4552,06
39661;Salta;Masculino;Litio-exploración y financiación;32;2390,81;2966,44
39661;Salta;Masculino;Litio-Produccion;41;6051,57;6331,23
39692;Catamarca;Femenino;Litio-Produccion;9;5208,51;5622,62
39692;Catamarca;Masculino;Litio-Produccion;133;5506,05;5906,31
39692;Jujuy;Femenino;Litio-exploración y financiación;3;4097;3663,44
39692;Jujuy;Masculino;Litio-exploración y financiación;5;2191,32;2847,63
39692;Jujuy;Masculino;Litio-Produccion;9;1567;1710,03
39692;Mendoza;Femenino;Litio-Produccion;1;4969,99;4969,99
39692;Mendoza;Masculino;Litio-Produccion;3;8700;8008,34
39692;Salta;Femenino;Litio-exploración y financiación;6;2118,73;1950,83
39692;Salta;Femenino;Litio-Produccion;15;4262,04;4894,67
39692;Salta;Masculino;Litio-exploración y financiación;33;1991,97;2585,03
39692;Salta;Masculino;Litio-Produccion;42;6326,75;6574,7
39722;Catamarca;Femenino;Litio-Produccion;9;6265,6;6192,31
39722;Catamarca;Masculino;Litio-Produccion;131;6353,33;6626,97
39722;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;4301,93
39722;Jujuy;Masculino;Litio-exploración y financiación;6;3879,86;3525,81
39722;Jujuy;Masculino;Litio-Produccion;9;1567;1727,44
39722;Mendoza;Femenino;Litio-Produccion;1;4969,99;4969,99
39722;Mendoza;Masculino;Litio-Produccion;3;8700;8008,34
39722;Salta;Femenino;Litio-exploración y financiación;6;1981,5;1904,36
39722;Salta;Femenino;Litio-Produccion;15;4871,5;5939,19
39722;Salta;Masculino;Litio-exploración y financiación;33;2317,61;3167,18
39722;Salta;Masculino;Litio-Produccion;42;7956,57;7493,52
39753;Catamarca;Femenino;Litio-Produccion;9;5704,74;5694,99
39753;Catamarca;Masculino;Litio-Produccion;135;5647,46;5907,6
39753;Jujuy;Femenino;Litio-exploración y financiación;3;10000;10000
39753;Jujuy;Masculino;Litio-exploración y financiación;5;10000;8563,08
39753;Jujuy;Masculino;Litio-Produccion;9;1567,39;1728
39753;Mendoza;Femenino;Litio-Produccion;1;5246,82;5246,82
39753;Mendoza;Masculino;Litio-Produccion;3;9366;8338,83
39753;Salta;Femenino;Litio-exploración y financiación;7;8354,98;7217,14
39753;Salta;Femenino;Litio-Produccion;15;3896,73;4952,42
39753;Salta;Masculino;Litio-exploración y financiación;33;8491,31;8945,4
39753;Salta;Masculino;Litio-Produccion;43;6905,76;6828,18
39783;Catamarca;Femenino;Litio-Produccion;9;8325,41;7420
39783;Catamarca;Masculino;Litio-Produccion;137;8241,81;8154,48
39783;Jujuy;Masculino;Litio-Produccion;9;2209,1;2437,31
39783;Mendoza;Femenino;Litio-Produccion;1;7869,73;7869,73
39783;Mendoza;Masculino;Litio-Produccion;3;10000;9491,92
39783;Salta;Femenino;Litio-Produccion;15;5845,09;6652,77
39783;Salta;Masculino;Litio-Produccion;43;10000;8386,57
39814;Catamarca;Femenino;Litio-Produccion;10;5053,56;5475,05
39814;Catamarca;Masculino;Litio-Produccion;148;4871,58;5511,14
39814;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;4407,1
39814;Jujuy;Masculino;Litio-exploración y financiación;5;2413,79;3168,05
39814;Jujuy;Masculino;Litio-Produccion;5;1928,76;1753,88
39814;Mendoza;Femenino;Litio-Produccion;1;4674,57;4674,57
39814;Mendoza;Masculino;Litio-Produccion;3;10000;8848,13
39814;Salta;Femenino;Litio-exploración y financiación;6;2370,19;2937,37
39814;Salta;Femenino;Litio-Produccion;16;4029,44;5271,26
39814;Salta;Masculino;Litio-exploración y financiación;29;2298,79;2858,31
39814;Salta;Masculino;Litio-Produccion;52;5581,63;6246,45
39845;Catamarca;Femenino;Litio-Produccion;10;8505,12;7362,69
39845;Catamarca;Masculino;Litio-Produccion;152;8221,86;7685,16
39845;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;4572,51
39845;Jujuy;Masculino;Litio-exploración y financiación;5;2413,79;3251,3
39845;Jujuy;Masculino;Litio-Produccion;4;1957,68;1957,68
39845;Mendoza;Femenino;Litio-Produccion;1;10000;10000
